Location,J,I,Ld,Lv,Wa,Wp,Dd,Dv,In,Delta
Taseko BC,-4.13467,4.45524,3.31896,2.35781,1.73722,1.40321,1.81599,3.91161,1.83018,0.223262
Taseko BC,0.593657,-0.73677,2.8152,1.98172,1.59694,1.42847,2.45178,2.61057,2.06097,0.261448
Taseko BC,-0.967781,3.35028,1.60317,1.05065,0.92039,0.868658,1.049,1.5445,0.723567,0.158452
Taseko BC,3.90916,-3.66405,2.25201,1.77635,1.50136,1.23437,1.22725,2.61707,1.50603,0.19882
Taseko BC,9.42708,-5.01347,2.15864,1.76422,1.65349,1.4001,1.29875,2.58177,1.3434,0.220155
Taseko BC,-4.51472,0.928016,2.30327,1.95275,1.34597,0.845789,1.44795,3.10613,1.90688,0.177761
Taseko BC,-11.1268,7.145,2.52144,2.84121,1.7633,1.74096,2.34251,3.04831,1.64669,0.335564
Taseko BC,-10.2189,7.13824,2.46815,2.01402,1.49299,1.4046,1.30833,3.18032,1.28478,0.193157
Taseko BC,-0.2851,-1.80832,2.8079,2.40451,1.82909,1.46362,1.22333,2.91531,1.85225,0.258585
Taseko BC,4.1067,-2.81938,3.71496,2.70854,2.13781,1.76137,1.88506,4.43836,2.13145,0.408035
Taseko BC,-1.6301,5.73786,2.09078,2.23885,1.3462,0.904204,1.78325,2.63899,1.39735,0.277926
Taseko BC,1.12881,-2.66025,2.25219,1.82821,1.54354,1.18829,1.55089,2.7394,1.79462,0.220501
Taseko BC,3.79382,-1.126,2.32595,1.7613,1.65433,1.35018,1.49381,2.69555,1.45901,0.427103
Taseko BC,1.83872,-0.807454,2.09775,1.83763,1.65731,1.42512,1.55067,2.16106,1.58668,0.234888
Taseko BC,-0.562901,0.618812,2.04325,1.73705,1.48105,1.34268,1.52904,2.04621,1.39347,0.248877
Taseko BC,0.771579,0.476125,2.11209,2.25348,1.65626,1.4607,1.6987,2.94024,1.72353,0.244522
Taseko BC,-11.4116,5.22631,1.93881,1.52506,1.00211,0.894675,1.18493,2.28545,1.00678,0.159229
Taseko BC,3.43755,-2.54539,2.08217,1.92514,1.35124,1.13928,1.79521,2.40172,1.23308,0.147945
Taseko BC,-1.16124,0.566986,2.7318,2.5471,2.12197,1.80836,1.84075,3.40309,2.24369,0.213864
Taseko BC,-1.04522,1.01015,2.12917,1.96585,1.39111,1.51861,1.50255,2.46289,1.60327,0.118464
Taseko BC,-0.402143,0.143327,2.41265,2.24925,1.97052,1.79732,1.65072,3.09534,1.97771,0.43519
Taseko BC,-0.507528,0.714082,2.1723,2.04562,1.46432,1.45716,1.74159,2.50471,2.21564,0.316401
Taseko BC,0.0248356,-0.194462,2.38577,1.76414,1.50816,1.34829,1.66199,2.68281,1.98704,0.311731
Taseko BC,6.25984,-7.68253,2.23786,1.32469,1.49369,1.64018,1.32608,2.496,1.46029,0.1118
Taseko BC,-9.65293,7.56762,1.92134,1.73691,1.33553,1.30022,1.64092,2.14634,1.52064,0.380742
Taseko BC,0.640522,-0.063021,1.95087,1.68736,1.36562,1.07904,1.35829,2.35016,1.50658,0.368873
Taseko BC,-1.27221,2.98664,1.55708,1.2676,1.06965,0.968818,0.93025,1.93858,0.855148,0.179785
Taseko BC,-0.574505,0.568204,2.43556,2.25486,1.93247,1.82146,1.58342,3.22991,1.53591,0.227006
Taseko BC,0.211085,-1.00779,1.91773,1.74142,1.47219,1.0677,1.24241,2.3504,1.52204,0.286834
